Proxy                          | Response Time   | ISP                   ----------------------------------------------------------------------------
socks5://103.28.47.220:1080    | 0.83            | 香港特别行政区                ----------------------------------------------------------------------------
socks5://47.244.129.8:1080     | 0.58            | 香港特别行政区 阿里云            ----------------------------------------------------------------------------
socks5://114.67.92.113:1080    | 1.02            | 日本 阿里云                 ----------------------------------------------------------------------------
socks5://220.116.163.214:1080  | 0.80            | 韩国                     ----------------------------------------------------------------------------
socks5://123.207.159.69:1080   | 1.40            | 天津市 腾讯                 ----------------------------------------------------------------------------
socks5://47.244.119.1:1080     | 1.28            | 香港特别行政区 阿里云            ----------------------------------------------------------------------------
socks5://132.148.130.46:1664   | 1.39            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://106.14.225.196:8082   | 1.29            | 上海市 阿里云                ----------------------------------------------------------------------------
socks5://104.167.98.25:443     | 1.49            | 加拿大                    ----------------------------------------------------------------------------
socks5://47.52.27.151:443      | 0.74            | 香港特别行政区 阿里云            ----------------------------------------------------------------------------
socks5://47.101.47.32:1080     | 0.94            | 新加坡 Azure              ----------------------------------------------------------------------------
socks5://118.24.181.39:8888    | 1.66            | 四川省成都市 腾讯              ----------------------------------------------------------------------------
socks5://192.169.224.196:20634 | 1.70            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://162.62.18.136:1080    | 1.71            | 俄罗斯 腾讯                 ----------------------------------------------------------------------------
socks5://132.148.142.205:37116 | 1.69            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://171.221.208.10:8082   | 1.21            | 四川省成都市 电信              ----------------------------------------------------------------------------
socks5://118.25.194.69:1080    | 1.81            | 美国 BuyVM               ----------------------------------------------------------------------------
socks5://167.99.99.31:443      | 1.14            | 美国 DigitalOcean        ----------------------------------------------------------------------------
socks5://176.107.130.20:443    | 1.85            | 波兰                     ----------------------------------------------------------------------------
socks5://89.38.151.237:443     | 1.86            | 法国                     ----------------------------------------------------------------------------
socks5://118.31.229.46:8081    | 0.92            | 广东省深圳市 阿里云             ----------------------------------------------------------------------------
socks5://47.107.97.26:1080     | 2.02            | 广东省深圳市 阿里云             ----------------------------------------------------------------------------
socks5://192.169.182.200:11505 | 1.13            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://137.74.188.56:1080    | 1.88            | 法国 OVH                 ----------------------------------------------------------------------------
socks5://192.169.232.12:22332  | 1.33            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://59.78.48.253:1080     | 1.43            | 美国 DigitalOcean        ----------------------------------------------------------------------------
socks5://162.62.19.108:1080    | 1.82            | 俄罗斯 腾讯                 ----------------------------------------------------------------------------
socks5://120.79.135.209:443    | 1.36            | 广东省深圳市 阿里云             ----------------------------------------------------------------------------
socks5://50.63.26.13:11063     | 1.42            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://47.94.142.38:7300     | 1.61            | 北京市 阿里云                ----------------------------------------------------------------------------
socks5://192.169.197.146:17383 | 1.11            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://193.112.185.16:21071  | 1.50            | 广东省广州市 腾讯              ----------------------------------------------------------------------------
socks5://47.93.251.207:3001    | 2.07            | 北京市 阿里云                ----------------------------------------------------------------------------
socks5://162.144.157.106:8133  | 2.16            | 美国                     ----------------------------------------------------------------------------
socks5://162.62.27.105:1080    | 1.39            | 俄罗斯 腾讯                 ----------------------------------------------------------------------------
socks5://104.238.97.129:17503  | 1.58            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://104.237.225.83:1080   | 1.42            | 美国                     ----------------------------------------------------------------------------
socks5://104.238.97.215:21458  | 1.16            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://217.61.112.176:443    | 1.70            | 英国                     ----------------------------------------------------------------------------
socks5://23.225.204.130:8082   | 1.64            | 美国 云镭科技                ----------------------------------------------------------------------------
socks5://192.169.156.211:45578 | 1.26            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://162.62.27.158:1080    | 1.38            | 俄罗斯 腾讯                 ----------------------------------------------------------------------------
socks5://35.236.180.213:1080   | 1.77            | 台湾省 Google             ----------------------------------------------------------------------------
socks5://192.169.249.49:56330  | 1.56            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://125.64.54.23:7300     | 1.41            | 四川省广元市 电信              ----------------------------------------------------------------------------
socks5://5.135.58.66:1080      | 2.34            | 法国 OVH                 ----------------------------------------------------------------------------
socks5://162.62.15.125:1080    | 1.46            | 俄罗斯 腾讯                 ----------------------------------------------------------------------------
socks5://125.65.77.120:7300    | 1.51            | 四川省绵阳市 电信              ----------------------------------------------------------------------------
socks5://132.148.146.65:30563  | 1.87            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://195.123.227.30:1080   | 2.40            | 保加利亚                   ----------------------------------------------------------------------------
socks5://125.64.209.36:7302    | 1.65            | 四川省宜宾市 电信              ----------------------------------------------------------------------------
socks5://94.177.251.111:443    | 1.62            | 英国                     ----------------------------------------------------------------------------
socks5://217.61.122.191:443    | 2.02            | 意大利                    ----------------------------------------------------------------------------
socks5://13.58.77.219:443      | 2.80            | 美国 Amazon              ----------------------------------------------------------------------------
socks5://95.110.188.64:47143   | 2.13            | 意大利                    ----------------------------------------------------------------------------
socks5://47.107.160.108:1080   | 2.81            | 广东省深圳市 阿里云             ----------------------------------------------------------------------------
socks5://18.225.6.199:443      | 2.89            | 美国 Amazon              ----------------------------------------------------------------------------
socks5://132.232.251.48:8888   | 1.74            | 英国                     ----------------------------------------------------------------------------
socks5://77.245.112.48:5555    | 2.39            | 俄罗斯                    ----------------------------------------------------------------------------
socks5://162.62.26.131:1080    | 2.99            | 俄罗斯 腾讯                 ----------------------------------------------------------------------------
socks5://112.16.5.62:1080      | 1.52            | 浙江省温州市 移动              ----------------------------------------------------------------------------
socks5://18.223.12.59:443      | 2.77            | 美国 Amazon              ----------------------------------------------------------------------------
socks5://192.169.250.203:14518 | 3.28            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://132.148.13.46:11567   | 3.32            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://47.96.161.178:2004    | 3.11            | 江苏省苏州市 电信              ----------------------------------------------------------------------------
socks5://50.63.167.72:16061    | 3.38            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://192.169.157.42:14891  | 4.08            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://192.169.233.35:16049  | 3.29            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://192.169.139.161:8975  | 3.56            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://166.62.84.121:12614   | 3.34            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://50.62.31.218:17470    | 4.08            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://37.122.210.22:51256   | 3.70            | 英国                     ----------------------------------------------------------------------------
socks5://203.100.75.133:9999   | 3.91            | 印度                     ----------------------------------------------------------------------------
socks5://175.43.176.182:7302   | 4.24            | 福建省泉州市 联通              ----------------------------------------------------------------------------
socks5://219.145.170.23:9999   | 4.06            | 陕西省渭南市 电信              ----------------------------------------------------------------------------
socks5://195.201.183.156:1080  | 5.18            | 俄罗斯                    ----------------------------------------------------------------------------
